date,forecast,lower,upper
2026-06-04,403.0508199954002,371.4739296231416,437.3118825963619
2026-06-11,401.1090002300264,357.40016022298926,450.1632846643095
2026-06-18,400.6183604984959,347.8257615697508,461.42376011535924
2026-06-25,400.7142164512778,340.38609643362236,471.73455363936745
2026-07-02,401.04816800973373,334.17146565066435,481.30869806849967
2026-07-09,401.47913461247737,328.7562055999654,490.2888303964555
2026-07-16,401.94987136269685,323.91349213793234,498.7865680497488
2026-07-23,402.4371316324752,319.50872100194243,506.8895910218037
2026-07-30,402.93147228358,315.4545410123038,514.6661412310467
2026-08-06,403.429057115963,311.6901171018381,522.1692803057283
2026-08-13,403.92832788819766,308.1707555092546,529.440549285526
2026-08-20,404.4286519086565,304.8622893099118,536.5128460292495
2026-08-27,404.9297725549676,301.73780801666106,543.4125798791644
2026-09-03,405.4315860114544,298.77562417929227,550.161250226771
2026-09-10,405.93405055242476,295.9579379122057,556.7765965675176
2026-09-17,406.43714968161515,293.26992003959845,563.2734397684252
2026-09-24,406.9408771547467,290.6990600003511,569.6643033495692
2026-10-01,407.4452308937771,288.2346887648028,575.9598780060351
2026-10-08,407.95021051409054,285.8676216816418,582.1693736404649
2026-10-15,408.4558163197278,283.5898859523128,588.3007898013317
2026-10-22,408.9620488951213,281.39450927706355,594.3611261860829
2026-10-29,409.4689089392048,279.27535361767013,600.3565485316583
2026-11-05,409.9763971980096,277.2269828130113,606.2925208576468
2026-11-12,410.4845144372765,275.24455597901556,612.1739120088276
2026-11-19,410.99326143132845,273.3237408094352,618.0050823310307
2026-11-26,411.50263895854886,271.4606424198259,623.7899548177104
