date,forecast,lower,upper
2026-06-04,408.61625,383.9729065853895,434.8412007734499
2026-06-11,408.61625,374.20585652876156,446.19087823183054
2026-06-18,408.61625,366.88012917428097,455.1002534256827
2026-06-25,408.61625,360.81578496115196,462.74926631061714
2026-07-02,408.61625,355.556104984511,469.5946361864212
2026-07-09,408.61625,350.867013113302,475.8704395791845
2026-07-16,408.61625,346.6095489776407,481.71563725393287
2026-07-23,408.61625,342.6932312663142,487.22071091713127
2026-07-30,408.61625,339.05525219181175,492.44846875165075
2026-08-06,408.61625,335.6499113091362,497.44461159795856
2026-08-13,408.61625,332.4427306763419,502.2436177935794
2026-08-20,408.61625,329.4069415568693,506.8722564707611
2026-08-27,408.61625,326.5212698163934,511.3518021596267
2026-09-03,408.61625,323.7684774980009,515.6994932129963
2026-09-10,408.61625,321.1343671229907,519.9295275055878
2026-09-17,408.61625,318.60708103784964,524.0537630870396
2026-09-24,408.61625,316.17659552486475,528.0822240713003
2026-10-01,408.61625,313.83434734330825,532.0234740954419
2026-10-08,408.61625,311.57295265393606,535.884897395163
2026-10-15,408.61625,309.3859918487252,539.6729139750496
2026-10-22,408.61625,307.26784233367715,543.3931468257737
2026-10-29,408.61625,305.21354681965926,547.05055363325
2026-11-05,408.61625,303.2187083216246,550.6495317794179
2026-11-12,408.61625,301.2794055328196,554.1940029680324
2026-11-19,408.61625,299.39212394218265,557.6874821072664
2026-11-26,408.61625,297.5536992581229,561.1331338859316
