date,forecast,lower,upper
2026-06-04,396.5588664065198,202.83395413028694,590.2837786827527
2026-06-11,394.5776286126588,200.76687389850258,588.3883833268151
2026-06-18,392.5853942595065,198.68672499174716,586.4840635272658
2026-06-25,390.5821633470627,196.59347866940294,584.5708480247224
2026-07-02,388.5679358753275,194.48710609272987,582.6487656579252
2026-07-09,386.5427118443011,192.36757832823469,580.7178453603675
2026-07-16,384.50649125398326,190.23486635108873,578.7781161568778
2026-07-23,382.4592741043739,188.0889410485949,576.8296071601528
2026-07-30,380.40106039547317,185.92977322370282,574.8723475672435
2026-08-06,378.33185012728103,183.75733359857065,572.9063666559914
2026-08-13,376.2516432997976,181.57159281817454,570.9316937814207
2026-08-20,374.1604399130227,179.37252145396405,568.9483583720813
2026-08-27,372.0582399669565,177.16009000756355,566.9563899263494
2026-09-03,369.94504346159874,174.9342689145178,564.9558180086797
2026-09-10,367.82085039694965,172.69502854808277,562.9466722458166
2026-09-17,365.68566077300915,170.44233922305878,560.9289823229595
2026-09-24,363.53947458977734,168.17617119966653,558.9027779798881
2026-10-01,361.38229184725407,165.8964946874645,556.8680890070436
2026-10-08,359.2141125454395,163.60327984930777,554.8249452415712
2026-10-15,357.0349366843334,161.29649680534519,552.7733765633216
2026-10-22,354.84476426393593,158.97611563705684,550.713412890815
2026-10-29,352.64359528424706,156.64210639132756,548.6450841771666
2026-11-05,350.4314297452669,154.2944390845581,546.5684204059756
2026-11-12,348.20826764699535,151.93308370681086,544.4834515871798
2026-11-19,345.9741089894323,149.55801022599013,542.3902077528744
2026-11-26,343.7289537725778,147.16918859205578,540.2887189530999
