date,forecast,lower,upper
2026-06-04,408.61625,370.53357227984685,446.6989277201531
2026-06-11,408.61625,354.7592106766757,462.47328932332425
2026-06-18,408.61625,342.6551173004234,474.57738269957656
2026-06-25,408.61625,332.45089455969367,484.7816054403063
2026-07-02,408.61625,323.46079385252085,493.7717061474791
2026-07-09,408.61625,315.3331215467674,501.89937845323254
2026-07-16,408.61625,307.8589554930545,509.37354450694545
2026-07-23,408.61625,300.90217135335143,516.3303286466486
2026-07-30,408.61625,294.36821683954054,522.8642831604594
2026-08-06,408.61625,288.1882490061676,529.0442509938323
2026-08-13,408.61625,282.3102969902248,534.9222030097752
2026-08-20,408.61625,276.6939846008469,540.5385153991531
2026-08-27,408.61625,271.30720277301776,545.9252972269821
2026-09-03,408.61625,266.1239176002575,551.1085823997424
2026-09-10,408.61625,261.1226734108626,556.1098265891374
2026-09-17,408.61625,256.2855391193874,560.9469608806126
2026-09-24,408.61625,251.5973472534522,565.6351527465478
2026-10-01,408.61625,247.04513203002713,570.1873679699728
2026-10-08,408.61625,242.6177063184245,574.6147936815755
2026-10-15,408.61625,238.3053377050417,578.9271622949583
2026-10-22,408.61625,234.0994966807899,583.13300331921
2026-10-29,408.61625,229.99265824511707,587.239841754883
2026-11-05,408.61625,225.97814369753056,591.2543563024694
2026-11-12,408.61625,222.04999309353477,595.1825069064652
2026-11-19,408.61625,218.20286139923422,599.0296386007658
2026-11-26,408.61625,214.43193317507385,602.8005668249261
