date,forecast,lower,upper
2026-06-04,559.86,538.4171176378361,582.1568619050411
2026-06-11,559.86,529.7775566889865,591.650619476905
2026-06-18,559.86,523.2423068462455,599.0402830559058
2026-06-25,559.86,517.7955070293206,605.341713755448
2026-07-02,559.86,513.0437810773327,610.9482877695261
2026-07-09,559.86,508.78543523870616,616.0616988828351
2026-07-16,559.86,504.9006853865275,620.8017312554113
2026-07-23,559.86,501.31150568240673,625.2464107587708
2026-07-30,559.86,497.9637131078281,629.4499204445598
2026-08-06,559.86,494.8178674281187,633.4517005805845
2026-08-13,559.86,491.8442020483554,637.2815177949054
2026-08-20,559.86,489.01959717390156,640.9624919152998
2026-08-27,559.86,486.3256715202761,644.5130042593933
2026-09-03,559.86,483.747525396978,647.947954550835
2026-09-10,559.86,481.27288243735904,651.2796191894249
2026-09-17,559.86,478.89148554951436,654.5182553002228
2026-09-24,559.86,476.59466070379216,657.6725369460397
2026-10-01,559.86,474.37499485675426,660.7498772034762
2026-10-08,559.86,472.22609350698485,663.7566706071142
2026-10-15,559.86,470.14239506684896,666.6984787777582
2026-10-22,559.86,468.11902657931796,669.5801747056104
2026-10-29,559.86,466.15169005379147,672.406056414448
2026-11-05,559.86,464.23657183588125,675.1799375918399
2026-11-12,559.86,462.37026955138725,677.9052206451702
2026-11-19,559.86,460.5497326311416,680.5849561767947
2026-11-26,559.86,458.77221345334345,683.2218918417054
