date,forecast,lower,upper
2026-06-04,560.8956612272514,530.4232602288109,591.3680622256918
2026-06-11,561.1709746568795,524.5690374074321,597.7729119063268
2026-06-18,561.1586491048308,518.1408703810166,604.176427828645
2026-06-25,561.1552046799237,509.8146097959791,612.4957995638683
2026-07-02,561.154242121582,501.92244151598624,620.3860427271777
2026-07-09,561.1539731307964,494.77512690567755,627.5328193559153
2026-07-16,561.1538979602437,488.277280695319,634.0305152251685
2026-07-23,561.1538769535315,482.3005826938962,640.0071712131668
2026-07-30,561.1538710831217,476.74273824835717,645.5650039178862
2026-08-06,561.1538694426121,471.528023457832,650.7797154273921
2026-08-13,561.1538689841651,466.6002404261231,655.7074975422072
2026-08-20,561.1538688560503,461.9167929712179,660.3909447408827
2026-08-27,561.1538688202481,457.4446157002848,664.8631219402114
2026-09-03,561.153868810243,453.15747033226614,669.1502672882199
2026-09-10,561.153868807447,449.034132583511,673.273605031383
2026-09-17,561.1538688066657,445.05714838896165,677.2505892243698
2026-09-24,561.1538688064473,441.21195889469624,681.0957787181984
2026-10-01,561.1538688063863,437.4862698946329,684.8214677181397
2026-10-08,561.1538688063692,433.8695874141432,688.4381501985953
2026-10-15,561.1538688063645,430.3528689672026,691.9548686455264
2026-10-22,561.1538688063632,426.9282571354165,695.3794804773099
2026-10-29,561.1538688063629,423.58887290264306,698.7188647100827
2026-11-05,561.1538688063627,420.32865313973934,701.979084472986
2026-11-12,561.1538688063627,417.1422212318895,705.1655163808358
2026-11-19,561.1538688063627,414.024782944055,708.2829546686703
2026-11-26,561.1538688063627,410.9720417558085,711.3356958569168
