date,forecast,lower,upper
2026-06-04,424.2239434965365,163.09419686555566,685.3536901275173
2026-06-11,423.110004186975,161.8970024138721,684.3230059600779
2026-06-18,421.98633464810933,160.68836842944404,683.2843008667746
2026-06-25,420.85293487993937,159.46827453966227,682.2375952202165
2026-07-02,419.7098048824654,158.23670030301264,681.1829094619181
2026-07-09,418.55694465568723,156.9936252105494,680.1202641008251
2026-07-16,417.3943541996049,155.7390286873894,679.0496797118203
2026-07-23,416.22203351421837,154.47289009422565,677.9711769342111
2026-07-30,415.03998259952766,153.19518872886027,676.884776470195
2026-08-06,413.84820145553283,151.9059038277577,675.790499083308
2026-08-13,412.6466900822338,150.60501456761665,674.688365596851
2026-08-20,411.43544847963057,149.2925000669615,673.5783968922997
2026-08-27,410.2144766477232,147.96833938775387,672.4606139076925
2026-09-03,408.9837745865117,146.6325115370219,671.3350376360015
2026-09-10,407.743342295996,145.28499546850946,670.2016891234825
2026-09-17,406.49317977617613,143.92577008434353,669.0605894680087
2026-09-24,405.23328702705214,142.55481423672114,667.9117598173832
2026-10-01,403.96366404862397,141.1721067296134,666.7552213676345
2026-10-08,402.6843108408916,139.77762632048905,665.5909953612942
2026-10-15,401.3952274038551,138.37135172205552,664.4191030856546
2026-10-22,400.0964137375143,136.95326160401765,663.2395658710109
2026-10-29,398.78786984186945,135.52333459485504,662.0524050888839
2026-11-05,397.4695957169204,134.08154928361495,660.857642150226
2026-11-12,396.1415913626672,132.6278842217245,659.6552985036099
2026-11-19,394.8038567791099,131.16231792481864,658.4453956334012
2026-11-26,393.45639196624836,129.68482887458447,657.2279550579123
