date,forecast,lower,upper
2026-06-04,559.8605422984915,545.2822096619991,574.8286319586495
2026-06-11,559.8610856155458,538.6047896854172,581.9562697520399
2026-06-18,559.8616355874964,533.1722538263397,587.8870225674681
2026-06-25,559.8621855854932,528.4122318230977,593.1839648679179
2026-07-02,559.8627356662344,524.1099979539484,598.0543728211923
2026-07-09,559.8632857485163,520.1554272206735,602.6023614597972
2026-07-16,559.8638358328815,516.4813945404942,606.8902074872789
2026-07-23,559.8643859183351,513.0422371741737,610.9596621217626
2026-07-30,559.864936004882,509.80451060356813,614.8410141231711
2026-08-06,559.8654860925101,506.7424315973664,618.557500657108
2026-08-13,559.8660361812192,503.835387817604,622.1276798669945
2026-08-20,559.8665862710093,501.0664613421416,625.5668123091261
2026-08-27,559.8671363618802,498.4214931190777,628.8877198272246
2026-09-03,559.8676864538322,495.88845651776495,632.1013501483138
2026-09-10,559.8682365468651,493.45701805624805,635.2171662547709
2026-09-17,559.8687866409791,491.1182172970635,638.2434262298876
2026-09-24,559.869336736174,488.8642260040307,641.1873916206341
2026-10-01,559.86988683245,486.68816207633665,644.0554872981273
2026-10-08,559.8704369298066,484.58394263062087,646.8534272325217
2026-10-15,559.8709870282446,482.5461658909155,649.586315544337
2026-10-22,559.8715371277633,480.5700148206457,652.258729108904
2026-10-29,559.872087228363,478.6511775250343,654.8747860490054
2026-11-05,559.8726373300437,476.78578083210925,657.4382031939152
2026-11-12,559.8731874328053,474.97033439527723,659.9523447475186
2026-11-19,559.8737375366482,473.20168330997546,662.4202638387058
2026-11-26,559.8742876415718,471.4769676991444,664.8447382295657
