date,forecast,lower,upper
2026-06-04,625.8589846848047,601.5539108257802,651.1461697820243
2026-06-11,625.9151106269419,591.8150414382649,661.980011521354
2026-06-18,625.9720218078302,584.4599614937895,670.4322510989191
2026-06-25,626.041338917953,578.347379727581,677.6675746928597
2026-07-02,626.1115220533753,573.0214255265917,684.1187090297616
2026-07-09,626.183123313072,568.2541259296703,690.0147500493312
2026-07-16,626.254920268078,563.9088425439006,695.489877994965
2026-07-23,626.3268974762346,559.8972530544605,700.6323859719969
2026-07-30,626.3989208729968,556.1579425253101,705.5034189145111
2026-08-06,626.4709804925728,552.6462887803137,710.1475794077029
2026-08-13,626.5430611233953,549.3286166122618,714.5985122697587
2026-08-20,626.615160743089,546.1787842760275,718.8823555413398
2026-08-27,626.6872775733651,543.176012658946,723.0198851034693
2026-09-03,626.7594112872343,540.3034631760327,727.0279392537027
2026-09-10,626.8315616740017,537.5472651926805,730.9203885732989
2026-09-17,626.9037286881987,534.8958323480635,734.7088197059717
2026-09-24,626.9759123072347,532.3393687628258,738.4030288604956
2026-10-01,627.0481125279262,529.8695045618981,742.0113862811094
2026-10-08,627.1203293507813,527.479021531625,745.5411105583261
2026-10-15,627.1925627786502,525.1616430973152,748.9984786486563
2026-10-22,627.2648128149306,522.9118710953004,752.3889890988786
2026-10-29,627.3370794633098,520.7248571982118,755.7174906202386
2026-11-05,627.4093627275538,518.5963004062195,758.9882845967754
2026-11-12,627.4816626114653,516.5223644242968,762.2052077079736
2026-11-19,627.553979118858,514.4996104055845,765.3716991853455
2026-11-26,627.6263122535524,512.5249417069826,768.4908560568293
