date,forecast,lower,upper
2026-06-11,640.7425648995114,562.9581038762855,729.2745794884703
2026-06-18,636.4758399755576,530.0203125988461,764.313150351275
2026-06-25,633.558157402158,506.328345663021,792.7581820156687
2026-07-02,631.0153392832489,487.107612017573,817.4381770827036
2026-07-09,628.6528463171617,470.6814634436672,839.6430109892534
2026-07-16,626.3587763817959,456.1875955880267,860.0087344435406
2026-07-23,624.0973687508857,443.14033778662093,878.9484785502156
2026-07-30,621.8532592757492,431.2301295881976,896.7403934441038
2026-08-06,619.6208020859475,420.24590399952785,913.5840105131978
2026-08-13,617.3977338653201,410.03535881251673,929.627051886328
2026-08-20,615.1831750215281,400.48408381281524,944.9822205829639
2026-08-27,612.9767654173859,391.5033847705158,959.7375899107627
2026-09-03,610.7783489389124,383.02278510549763,973.9634456205863
2026-09-10,608.587847760548,374.98514894125674,987.7168988893416
2026-09-17,606.4052145137291,367.3433779094283,1001.0450883372347
2026-09-24,604.2304136390112,360.05809631559606,1013.9874550865817
2026-10-01,602.0634142092542,353.0959832216776,1026.5773952510099
2026-10-08,599.9041871485363,346.4285421546932,1038.8434842001095
2026-10-15,597.7527041581818,340.0311752885557,1050.8104000322955
2026-10-22,595.608937301109,333.8824745515586,1062.499631552765
2026-10-29,593.4728588409859,327.96367049410065,1073.9300290494466
2026-11-05,591.3444411798239,322.25819796958285,1085.1182384731278
2026-11-12,589.2236568336374,316.75134969780447,1096.0790478197937
2026-11-19,587.1104784228178,311.42999689362387,1106.8256664807077
2026-11-26,585.0048786681956,306.28236173587044,1117.3699527650915
2026-12-03,582.9068303893016,301.29783037714486,1127.7226008869272
