date,forecast,lower,upper
2026-06-11,646.585,585.8274196928816,713.6438960883279
2026-06-18,646.585,562.3648755073197,743.4179843608644
2026-06-25,646.585,545.0005952806841,767.1040469408775
2026-07-02,646.585,530.7790401324182,787.6576326764897
2026-07-09,646.585,518.5574188251338,806.2215427795875
2026-07-16,646.585,507.750621487656,823.3808971027794
2026-07-23,646.585,498.0116376469711,839.4827161074531
2026-07-30,646.585,489.1147385175393,854.7527385744648
2026-08-06,646.585,480.9033854912177,869.3475131142218
2026-08-13,646.585,473.2637867714044,883.3808415325406
2026-08-20,646.585,466.1101760786442,896.9385001250457
2026-08-27,646.585,459.3760276781862,910.087024649616
2026-09-03,646.585,453.0085211403812,922.8792455659903
2026-09-10,646.585,446.96489765976617,935.3579317166881
2026-09-17,646.585,441.20997348450453,947.5582768975709
2026-09-24,646.585,435.7143909058998,959.5096488683344
2026-10-01,646.585,430.4533559597092,971.2368516511971
2026-10-08,646.585,425.4057069607418,982.7610569963075
2026-10-15,646.585,420.55321375025045,994.1005051343543
2026-10-22,646.585,415.880041477277,1005.271040995226
2026-10-29,646.585,411.37233405670014,1016.2865307499665
2026-11-05,646.585,407.01788621585763,1027.1591897641567
2026-11-12,646.585,402.80588215379197,1037.8998439386726
2026-11-19,646.585,398.7266850005815,1048.518140250358
2026-11-26,646.585,394.77166551568433,1059.0227180536845
2026-12-03,646.585,390.9330614492341,1069.4213497194587
