date,forecast,lower,upper
2026-06-11,650.692721595515,529.3580456067964,772.0273975842335
2026-06-18,649.89686855117,507.53599443052036,792.2577426718195
2026-06-25,649.8725902224647,485.1983886470475,814.546791797882
2026-07-02,649.9462398714452,465.381474955184,834.5110047877064
2026-07-09,649.9197486883006,447.7747438513167,852.0647535252845
2026-07-16,649.9240348636064,431.4969576775459,868.3511120496669
2026-07-23,649.9245184032831,416.3629174515085,883.4861193550577
2026-07-30,649.9239854674012,402.15306762279494,897.6949033120073
2026-08-06,649.9241522983641,388.7137286383554,911.1345759583728
2026-08-13,649.9241308876165,375.9331893537753,923.9150724214576
2026-08-20,649.9241256861203,363.72276234828627,936.1254890239543
2026-08-27,649.9241294245917,352.0123698667508,947.8358889824325
2026-09-03,649.9241284004279,340.7452071942063,959.1030496066495
2026-09-10,649.9241284941685,329.8744510817236,969.9738059066134
2026-09-17,649.9241285406636,319.36099300567173,980.4872640756554
2026-09-24,649.9241285151317,309.17175942864554,990.6764976016178
2026-10-01,649.9241285212402,299.2784846720637,1000.5697723704166
2026-10-08,649.9241285209423,289.65678604891326,1010.1914709929714
2026-10-15,649.924128520564,280.28545555253794,1019.56280148859
2026-10-22,649.9241285207343,271.1459096959825,1028.702347345486
2026-10-29,649.924128520699,262.2217561289158,1037.6265009124822
2026-11-05,649.9241285206988,253.49844814612482,1046.3498088952729
2026-11-12,649.9241285207017,244.963006235274,1054.8852508061295
2026-11-19,649.9241285207006,236.60379141533082,1063.2444656260705
2026-11-26,649.9241285207008,228.41031905875457,1071.437937982647
2026-12-03,649.9241285207008,220.37310469541984,1079.4751523459818
