product,key,method,RMSE,MAE,MAPE,sMAPE,coverage,n_origins
Urea,urea,Naive,83.62317040592472,73.86371217948717,13.882892815174522,15.606215515227134,85.8974358974359,6
Urea,urea,SARIMA,83.55243834891087,73.83795047387551,13.767213224639681,15.525844250075309,88.46153846153845,6
Urea,urea,ARIMA-GARCH,85.80142450325242,76.14217125275333,14.474105766976043,16.38383841440312,87.17948717948718,6
Urea,urea,LinearRegression,231.7497151813952,224.7011207585009,48.74618410376818,67.31491142790516,87.17948717948718,6
NPK 15-10-12,npk,Naive,24.7700852012568,20.21930288461538,3.9768625779258673,4.173813438153004,84.61538461538461,6
NPK 15-10-12,npk,SARIMA,25.84635914826805,21.108870723329265,4.150042908974544,4.369315874208955,88.46153846153845,6
NPK 15-10-12,npk,ARIMA-GARCH,24.688762440616625,20.151806685169692,3.964446001783612,4.159141368731696,84.61538461538461,6
NPK 15-10-12,npk,LinearRegression,168.76445680326913,166.18684257662673,34.56819489970527,42.37059916771047,42.30769230769231,6
ZA (Ammonium Sulphate),za,Naive,41.27841021072319,35.9133717948718,12.1392209326673,13.556125136707031,71.79487179487181,6
ZA (Ammonium Sulphate),za,SARIMA,41.27841021072319,35.9133717948718,12.1392209326673,13.556125136707031,91.02564102564104,6
ZA (Ammonium Sulphate),za,ARIMA-GARCH,40.744501534127714,35.269797204866116,11.97017956284501,13.29642203886509,84.61538461538461,6
ZA (Ammonium Sulphate),za,LinearRegression,145.5552094986767,141.225125852891,54.609729180885246,77.69194590127647,85.8974358974359,6
TSP,tsp,Naive,29.839797199066613,25.522762820512813,5.603862970153301,5.921801345363124,87.17948717948718,6
TSP,tsp,SARIMA,30.09831350089873,25.7461063034462,5.658668262847428,5.986048880171722,100.0,6
TSP,tsp,ARIMA-GARCH,29.782760636983102,25.45327902834465,5.592563451441669,5.906370801477698,89.74358974358974,6
TSP,tsp,LinearRegression,169.7823983161908,166.9738898554311,37.74064623550873,48.161244728308866,88.46153846153845,6
